Order,SmallGroup_ID,m,r,stem,rank_profile,affine_dimension
8,3,2,1,true,"[ 2 ]",2
8,4,2,1,true,"[ 2 ]",2
16,11,3,1,false,"[ 2 ]",2
16,12,3,1,false,"[ 2 ]",2
32,27,3,2,true,"[ 2, 2, 2 ]",3
32,34,3,2,true,"[ 2, 2, 2 ]",3
32,35,3,2,true,"[ 2, 2, 2 ]",3
32,46,4,1,false,"[ 2 ]",2
32,47,4,1,false,"[ 2 ]",2
32,49,4,1,true,"[ 4 ]",4
32,50,4,1,true,"[ 4 ]",4
64,202,4,2,false,"[ 2, 2, 2 ]",3
64,211,4,2,false,"[ 2, 2, 2 ]",3
64,212,4,2,false,"[ 2, 2, 2 ]",3
64,226,4,2,true,"[ 2, 2, 4 ]",4
64,230,4,2,true,"[ 2, 2, 4 ]",4
64,239,4,2,true,"[ 2, 2, 4 ]",4
64,261,5,1,false,"[ 2 ]",2
64,262,5,1,false,"[ 2 ]",2
64,264,5,1,false,"[ 4 ]",4
64,265,5,1,false,"[ 4 ]",4
128,1578,4,3,true,"[ 2, 2, 2, 2, 2, 2, 2 ]",4
128,1599,4,3,true,"[ 2, 2, 2, 2, 2, 2, 2 ]",4
128,1600,4,3,true,"[ 2, 2, 2, 2, 2, 2, 2 ]",4
128,2163,5,2,false,"[ 2, 2, 2 ]",3
128,2172,5,2,false,"[ 2, 2, 2 ]",3
128,2173,5,2,false,"[ 2, 2, 2 ]",3
128,2194,5,2,false,"[ 2, 2, 4 ]",4
128,2198,5,2,false,"[ 2, 2, 4 ]",4
128,2209,5,2,false,"[ 2, 2, 4 ]",4
128,2216,5,2,true,"[ 2, 4, 4 ]",5
128,2218,5,2,true,"[ 2, 4, 4 ]",5
128,2230,5,2,true,"[ 2, 4, 4 ]",5
128,2231,5,2,true,"[ 2, 4, 4 ]",5
128,2235,5,2,true,"[ 2, 4, 4 ]",5
128,2320,6,1,false,"[ 2 ]",2
128,2321,6,1,false,"[ 2 ]",2
128,2323,6,1,false,"[ 4 ]",4
128,2324,6,1,false,"[ 4 ]",4
128,2326,6,1,true,"[ 6 ]",6
128,2327,6,1,true,"[ 6 ]",6
256,28334,5,3,true,"[ 2, 2, 2, 4, 4, 4, 4 ]",5
256,28378,5,3,true,"[ 2, 2, 2, 4, 4, 4, 4 ]",5
256,28515,5,3,true,"[ 2, 2, 2, 4, 4, 4, 4 ]",5
256,28564,5,3,true,"[ 2, 2, 2, 4, 4, 4, 4 ]",5
256,28654,5,3,true,"[ 2, 2, 2, 4, 4, 4, 4 ]",5
256,29080,5,3,true,"[ 2, 2, 2, 2, 4, 4, 4 ]",5
256,29107,5,3,true,"[ 2, 2, 2, 2, 4, 4, 4 ]",5
256,29108,5,3,true,"[ 2, 2, 2, 2, 4, 4, 4 ]",5
256,29528,5,3,true,"[ 2, 2, 2, 2, 4, 4, 4 ]",5
256,29545,5,3,true,"[ 2, 2, 2, 2, 4, 4, 4 ]",5
256,29546,5,3,true,"[ 2, 2, 2, 2, 4, 4, 4 ]",5
256,29598,5,3,false,"[ 2, 2, 2, 2, 2, 2, 2 ]",4
256,29630,5,3,false,"[ 2, 2, 2, 2, 2, 2, 2 ]",4
256,29631,5,3,false,"[ 2, 2, 2, 2, 2, 2, 2 ]",4
256,55643,6,2,false,"[ 2, 2, 2 ]",3
256,55652,6,2,false,"[ 2, 2, 2 ]",3
256,55653,6,2,false,"[ 2, 2, 2 ]",3
256,55683,6,2,false,"[ 2, 2, 4 ]",4
256,55684,6,2,false,"[ 2, 2, 4 ]",4
256,55700,6,2,false,"[ 2, 2, 4 ]",4
256,55751,6,2,false,"[ 2, 4, 4 ]",5
256,55770,6,2,false,"[ 2, 4, 4 ]",5
256,55783,6,2,false,"[ 2, 4, 4 ]",5
256,55784,6,2,false,"[ 2, 4, 4 ]",5
256,55790,6,2,false,"[ 2, 4, 4 ]",5
256,55805,6,2,true,"[ 4, 4, 4 ]",6
256,55820,6,2,true,"[ 4, 4, 4 ]",6
256,55821,6,2,true,"[ 4, 4, 4 ]",6
256,55969,6,2,true,"[ 2, 4, 6 ]",6
256,55970,6,2,true,"[ 2, 4, 6 ]",6
256,55984,6,2,true,"[ 2, 4, 6 ]",6
256,55985,6,2,true,"[ 2, 4, 6 ]",6
256,55999,6,2,true,"[ 4, 4, 4 ]",6
256,56004,6,2,true,"[ 4, 4, 4 ]",6
256,56025,6,2,true,"[ 4, 4, 4 ]",6
256,56028,6,2,true,"[ 4, 4, 4 ]",6
256,56083,7,1,false,"[ 2 ]",2
256,56084,7,1,false,"[ 2 ]",2
256,56086,7,1,false,"[ 4 ]",4
256,56087,7,1,false,"[ 4 ]",4
256,56089,7,1,false,"[ 6 ]",6
256,56090,7,1,false,"[ 6 ]",6
512,6249567,5,4,true,"[ 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2 ]",5
512,6249622,5,4,true,"[ 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2 ]",5
512,6249623,5,4,true,"[ 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2 ]",5
512,7535895,6,3,false,"[ 2, 2, 2, 4, 4, 4, 4 ]",5
512,7535943,6,3,false,"[ 2, 2, 2, 4, 4, 4, 4 ]",5
512,7536102,6,3,false,"[ 2, 2, 2, 4, 4, 4, 4 ]",5
512,7536155,6,3,false,"[ 2, 2, 2, 4, 4, 4, 4 ]",5
512,7536284,6,3,false,"[ 2, 2, 2, 4, 4, 4, 4 ]",5
512,7536911,6,3,false,"[ 2, 2, 2, 2, 4, 4, 4 ]",5
512,7536940,6,3,false,"[ 2, 2, 2, 2, 4, 4, 4 ]",5
512,7536941,6,3,false,"[ 2, 2, 2, 2, 4, 4, 4 ]",5
