No,Family,Order,Class,DerivedSize,CenterSize,Involutions,k,RankProfile,WignerS2,WignerS3,PcCode
1,R310,1024,2,4,4,431,325,"[ 2, 6, 8 ]",332800,122945536,19380628975495993194709504
2,R310,1024,2,4,4,143,325,"[ 2, 6, 8 ]",332800,122945536,20322062408332427164331794236096
3,R310,1024,2,4,4,335,325,"[ 2, 6, 8 ]",332800,122945536,20322062408350891922804013269507
4,R310,1024,2,4,4,111,325,"[ 2, 6, 8 ]",332800,122945536,21309226911879582887471738141007676099
5,R220,1024,2,4,4,399,289,"[ 4, 4, 8 ]",295936,94633984,19361739509564514613854720
6,R220,1024,2,4,4,239,289,"[ 4, 4, 8 ]",295936,94633984,20302255367703861079933408248368
7,R220,1024,2,4,4,143,289,"[ 4, 4, 8 ]",295936,94633984,21288457724445443576957616155690795571
8,R211,1024,2,4,4,383,280,"[ 4, 6, 6 ]",286720,87556096,58047365737232648204452352
9,R211,1024,2,4,4,191,280,"[ 4, 6, 6 ]",286720,87556096,60867074575044131444772348887744
10,R211,1024,2,4,4,255,280,"[ 4, 6, 6 ]",286720,87556096,63823753589601474896574214703195095792
11,R211,1024,2,4,4,255,280,"[ 4, 6, 6 ]",286720,87556096,60867074575025666686300129853955
12,R211,1024,2,4,4,191,280,"[ 4, 6, 6 ]",286720,87556096,63823753589601474915038973175414129347
13,R211,1024,2,4,4,383,280,"[ 4, 6, 6 ]",286720,87556096,66924056243969956141149944961980168813937395
14,S1S1R1,1024,2,4,4,383,280,"[ 4, 6, 6 ]",286720,87556096,39633461867660920192204015104
15,S1S1R1,1024,2,4,4,383,280,"[ 4, 6, 6 ]",286720,87556096,41558696911344140359588110089061894
16,S1S1R1,1024,2,4,4,255,280,"[ 4, 6, 6 ]",286720,87556096,42556105637216399727966278264532502023
17,S1S1R1,1024,2,4,4,191,280,"[ 4, 6, 6 ]",286720,87556096,42556105637216399727948263866023020039
18,S1S1R1,1024,2,4,4,255,280,"[ 4, 6, 6 ]",286720,87556096,41558696911344158806332183798613696
