No,m,r,Family,Order,Class,CenterSize,DerivedSize,Involutions,k,WignerS2,WignerS3,PcCode
1,8,2,R310,1024,2,4,4,431,325,332800,122945536,19380628975495993194709504
2,8,2,R310,1024,2,4,4,143,325,332800,122945536,20322062408332427164331794236096
3,8,2,R310,1024,2,4,4,335,325,332800,122945536,20322062408350891922804013269507
4,8,2,R310,1024,2,4,4,111,325,332800,122945536,21309226911879582887471738141007676099
5,8,2,R220,1024,2,4,4,399,289,295936,94633984,19361739509564514613854720
6,8,2,R220,1024,2,4,4,239,289,295936,94633984,20302255367703861079933408248368
7,8,2,R220,1024,2,4,4,143,289,295936,94633984,21288457724445443576957616155690795571
8,8,2,R211,1024,2,4,4,383,280,286720,87556096,58047365737232648204452352
9,8,2,R211,1024,2,4,4,191,280,286720,87556096,60867074575044131444772348887744
10,8,2,R211,1024,2,4,4,255,280,286720,87556096,63823753589601474896574214703195095792
11,8,2,R211,1024,2,4,4,255,280,286720,87556096,60867074575025666686300129853955
12,8,2,R211,1024,2,4,4,191,280,286720,87556096,63823753589601474915038973175414129347
13,8,2,R211,1024,2,4,4,383,280,286720,87556096,66924056243969956141149944961980168813937395
14,8,2,S1S1R1,1024,2,4,4,383,280,286720,87556096,39633461867660920192204015104
15,8,2,S1S1R1,1024,2,4,4,383,280,286720,87556096,41558696911344140359588110089061894
16,8,2,S1S1R1,1024,2,4,4,255,280,286720,87556096,42556105637216399727966278264532502023
17,8,2,S1S1R1,1024,2,4,4,191,280,286720,87556096,42556105637216399727948263866023020039
18,8,2,S1S1R1,1024,2,4,4,255,280,286720,87556096,41558696911344158806332183798613696
19,6,4,m6r4_polar1_q1,1024,2,16,16,431,220,225280,84410368,19380665976789056626888192
20,6,4,m6r4_polar1_q2,1024,2,16,16,431,220,225280,84410368,20809831636289485892934997557382670
21,6,4,m6r4_polar1_q3,1024,2,16,16,47,220,225280,84410368,21309267595560433554508990286634421775
22,6,4,m6r4_polar1_q4,1024,2,16,16,143,220,225280,84410368,20322101207295450139861826145840
23,6,4,m6r4_polar1_q5,1024,2,16,16,143,220,225280,84410368,21820690017834018777338859454536427245118
24,6,4,m6r4_polar1_q6,1024,2,16,16,15,220,225280,84410368,22344386578262035227994992224998089373519423
25,6,4,m6r4_polar2_q1,1024,2,16,16,351,160,163840,46661632,21841936795167114654402214740962999283201
26,6,4,m6r4_polar2_q2,1024,2,16,16,351,160,163840,46661632,21841936795167114654402178712165980319240
27,6,4,m6r4_polar2_q3,1024,2,16,16,95,160,163840,46661632,22902930716929152415854418982352708165654818329
28,6,4,m6r4_polar2_q4,1024,2,16,16,95,160,163840,46661632,24015463479434702923606943412323860815310517618093599
29,6,4,m6r4_polar2_q5,1024,2,16,16,351,160,163840,46661632,22902930716929152415854400129744236037474102822
30,6,4,m6r4_polar2_q6,1024,2,16,16,95,160,163840,46661632,23452601054135452073834905732858115707914482363943
31,6,4,m6r4_polar2_q7,1024,2,16,16,31,160,163840,46661632,24015463479434702923606943431685655592767634523041327
32,6,4,m6r4_polar3_q1,1024,2,16,16,351,160,163840,46661632,45694270489220670421633614332168175212108723718
33,6,4,m6r4_polar3_q2,1024,2,16,16,31,160,163840,46661632,49063849341445174997027726072985393101808833992229926431
34,6,4,m6r4_polar3_q3,1024,2,16,16,351,160,163840,46661632,47913915372505053708034888723806929550891728510400027
35,6,4,m6r4_polar3_q4,1024,2,16,16,95,160,163840,46661632,47913915372505053708034888723806948033664599238915613
36,6,4,m6r4_polar3_q5,1024,2,16,16,351,160,163840,46661632,47913915372505053708034888743149742520610607229842987
37,6,4,m6r4_polar3_q6,1024,2,16,16,95,160,163840,46661632,47913915372505053708034888743149779450127551667910187
38,6,4,m6r4_polar4_q1,1024,2,16,16,399,196,200704,67108864,21309226892091903998486711827514525184
39,6,4,m6r4_polar4_q2,1024,2,16,16,399,196,200704,67108864,22344343897602160327117276245243837981918726
40,6,4,m6r4_polar4_q3,1024,2,16,16,79,196,200704,67108864,22880608151144612174968090875273778846911170055
41,6,4,m6r4_polar4_q4,1024,2,16,16,399,196,200704,67108864,23429742746772082867167266914467463048771174401590
42,6,4,m6r4_polar4_q5,1024,2,16,16,79,196,200704,67108864,23992056572694612855979281320414682306030436013573687
43,6,4,m6r4_polar4_q6,1024,2,16,16,15,196,200704,67108864,24567865930439283564522784072027225687025544154401998399
44,6,4,m6r4_polar5_q1,1024,2,16,16,47,124,126976,29753344,81117024132355038623182977118820901591363378804250555484445630807567
45,6,4,m6r4_polar5_q2,1024,2,16,16,303,124,126976,29753344,81117024132355038623182977118820901591363398165897722960175840378391
46,6,4,m6r4_polar5_q3,1024,2,16,16,303,124,126976,29753344,81117024132355038623182977118820901591363378671968989760671455133241
47,7,3,m7r3_polar1_q1,1024,2,8,8,383,232,237568,74973184,19826402368111395694081738240
48,7,3,m7r3_polar1_q2,1024,2,8,8,383,232,237568,74973184,20789489689544811807570129187767814
49,7,3,m7r3_polar1_q3,1024,2,8,8,255,232,237568,74973184,20789489689544793306782859949770264
50,7,3,m7r3_polar1_q4,1024,2,8,8,255,232,237568,74973184,21799359940704121186490100407366710199838
51,7,3,m7r3_polar1_q5,1024,2,8,8,383,232,237568,74973184,20789489689544793324797258459252257
52,7,3,m7r3_polar1_q6,1024,2,8,8,63,232,237568,74973184,21799359940704121205416423798195691193895
53,7,3,m7r3_polar1_q7,1024,2,8,8,255,232,237568,74973184,21288437442093868346181668319178786341
54,7,3,m7r3_polar2_q1,1024,2,8,8,399,238,243712,79691776,19361739545311870948738560
