Order,SmallGroup_ID,StructureDescription,CenterSize
1536,10499676,"D1536",2
1536,10499681,"C3 : Q512",2
1536,10673171,"C3 : ((((((C4 x C4) : C2) : C2) : C2) : C2) : C2)",4
1536,10673174,"C3 : (C16 : Q32)",4
1536,10834039,"C3 : (((((C2 x D16) : C2) : C2) : C2) : C2)",4
1536,10834042,"C3 : (C8 : Q64)",4
1536,10834064,"C3 : (C32 : Q16)",4
1536,10844315,"C3 : (((C2 x D64) : C2) : C2)",4
1536,10844318,"C3 : (C4 : Q128)",4
1536,10844340,"C3 : (C64 : Q8)",4
1536,10844361,"D256 x S3",2
1536,10844363,"C2 x D768",4
1536,10844368,"Q256 x S3",2
1536,10844370,"C2 x (C3 : Q256)",4
1536,13338182,"C3 : (((C2 x (((C4 x C4) : C2) : C2)) : C2) : C2)",8
1536,13338186,"C3 : ((C8 x C4) : Q16)",8
1536,13339872,"C3 : ((C8 x C8) : Q8)",8
1536,15129935,"(((((C4 x C4) : C2) : C2) : C2) : C2) x S3",4
1536,15129938,"C2 x (C3 : (((((C4 x C4) : C2) : C2) : C2) : C2))",8
1536,15129939,"(C8 : Q32) x S3",4
1536,15129942,"C2 x (C3 : (C8 : Q32))",8
1536,15130027,"(C16 : Q16) x S3",4
1536,15130030,"C2 x (C3 : (C16 : Q16))",8
1536,15144391,"D32 x D48",4
1536,15144392,"D16 x D96",4
1536,15144466,"Q32 x D48",4
1536,15144467,"D16 x (C3 : Q32)",4
1536,15144515,"C3 : (((((C2 x D16) : C2) : C2) : C2) : C2)",2
1536,15144520,"C3 : ((((C4 : Q16) : C2) : C2) : C2)",2
1536,15147863,"Q16 x D96",4
1536,15147864,"D32 x (C3 : Q16)",4
1536,15147908,"Q16 x (C3 : Q32)",4
1536,15147909,"Q32 x (C3 : Q16)",4
1536,15371172,"C3 : ((C2 x (((C2 x D16) : C2) : C2)) : C2)",8
1536,15371175,"C3 : ((C4 x C4) : Q32)",8
1536,15371223,"C3 : ((C16 x C4) : Q8)",8
1536,15374726,"(((C2 x D32) : C2) : C2) x S3",4
1536,15374729,"C2 x (C3 : (((C2 x D32) : C2) : C2))",8
1536,15374730,"(C4 : Q64) x S3",4
1536,15374733,"C2 x (C3 : (C4 : Q64))",8
1536,15374818,"(C32 : Q8) x S3",4
1536,15374821,"C2 x (C3 : (C32 : Q8))",8
1536,15375801,"D64 x D24",4
1536,15375802,"D8 x D192",4
1536,15375876,"Q64 x D24",4
1536,15375877,"D8 x (C3 : Q64)",4
1536,15376089,"C3 : ((((C2 x D32) : C2) : C2) : C2)",2
1536,15376090,"C3 : ((((C2 x D32) : C2) : C2) : C2)",2
1536,15376128,"C3 : ((((C2 x Q32) : C2) : C2) : C2)",2
1536,15376129,"C3 : ((((C2 x Q32) : C2) : C2) : C2)",2
1536,15377207,"D64 x (C3 : Q8)",4
1536,15377208,"Q8 x D192",4
1536,15377238,"Q64 x (C3 : Q8)",4
1536,15377239,"Q8 x (C3 : Q64)",4
1536,15377458,"C2 x D128 x S3",4
1536,15377460,"C2 x C2 x D384",8
1536,15377465,"C2 x Q128 x S3",4
1536,15377467,"C2 x C2 x (C3 : Q128)",8
1536,15377492,"C3 : ((C2 x D128) : C2)",2
