Order, SmallGroup_ID, StructureDescription, CenterSize
2,1,"C2",2
4,2,"C2 x C2",4
6,1,"S3",1
8,3,"D8",2
8,4,"Q8",2
8,5,"C2 x C2 x C2",8
10,1,"D10",1
12,4,"D12",2
14,1,"D14",1
16,7,"D16",2
16,9,"Q16",2
16,11,"C2 x D8",4
16,12,"C2 x Q8",4
16,14,"C2 x C2 x C2 x C2",16
18,1,"D18",1
18,4,"(C3 x C3) : C2",1
20,4,"D20",2
22,1,"D22",1
24,4,"C3 : Q8",2
24,6,"D24",2
24,12,"S4",1
24,14,"C2 x C2 x S3",4
26,1,"D26",1
28,3,"D28",2
30,3,"D30",1
32,18,"D32",2
32,20,"Q32",2
32,27,"(C2 x C2 x C2 x C2) : C2",4
32,34,"(C4 x C4) : C2",4
32,35,"C4 : Q8",4
32,39,"C2 x D16",4
32,41,"C2 x Q16",4
32,46,"C2 x C2 x D8",8
32,47,"C2 x C2 x Q8",8
32,49,"(C2 x C2 x C2) : (C2 x C2)",2
32,50,"(C2 x Q8) : C2",2
32,51,"C2 x C2 x C2 x C2 x C2",32
34,1,"D34",1
36,4,"D36",2
36,10,"S3 x S3",1
36,13,"C2 x ((C3 x C3) : C2)",2
38,1,"D38",1
40,4,"C5 : Q8",2
40,6,"D40",2
40,13,"C2 x C2 x D10",4
42,5,"D42",1
44,3,"D44",2
46,1,"D46",1
48,7,"D48",2
48,8,"C3 : Q16",2
48,34,"C2 x (C3 : Q8)",4
48,36,"C2 x D24",4
48,38,"D8 x S3",2
48,40,"Q8 x S3",2
48,48,"C2 x S4",2
48,51,"C2 x C2 x C2 x S3",8
50,1,"D50",1
50,4,"(C5 x C5) : C2",1
52,4,"D52",2
54,1,"D54",1
54,7,"(C9 x C3) : C2",1
54,14,"(C3 x C3 x C3) : C2",1
56,3,"C7 : Q8",2
56,5,"D56",2
56,12,"C2 x C2 x D14",4
58,1,"D58",1
60,8,"S3 x D10",1
60,12,"D60",2
62,1,"D62",1
64,52,"D64",2
64,54,"Q64",2
64,134,"((C4 x C4) : C2) : C2",2
64,137,"(C4 : Q8) : C2",2
64,138,"((C2 x C2 x C2 x C2) : C2) : C2",2
64,174,"((C4 x C4) : C2) : C2",4
64,175,"C4 : Q16",4
64,181,"C8 : Q8",4
64,186,"C2 x D32",4
64,188,"C2 x Q32",4
64,202,"C2 x ((C2 x C2 x C2 x C2) : C2)",8
64,211,"C2 x ((C4 x C4) : C2)",8
64,212,"C2 x (C4 : Q8)",8
64,226,"D8 x D8",4
64,230,"Q8 x D8",4
64,239,"Q8 x Q8",4
64,250,"C2 x C2 x D16",8
64,252,"C2 x C2 x Q16",8
64,257,"(C2 x D16) : C2",2
64,259,"(C2 x Q16) : C2",2
