Order, SmallGroup_ID, StructureDescription, CenterSize
512,2042,"D512",2
512,2044,"Q512",2
512,30599,"(((((C4 x C4) : C2) : C2) : C2) : C2) : C2",4
512,30600,"C16 : Q32",4
512,58920,"((((C2 x D16) : C2) : C2) : C2) : C2",4
512,58921,"C8 : Q64",4
512,58926,"C32 : Q16",4
512,60885,"((C2 x D64) : C2) : C2",4
512,60886,"C4 : Q128",4
512,60891,"C64 : Q8",4
512,60898,"C2 x D256",4
512,60900,"C2 x Q256",4
512,260081,"((C2 x (((C4 x C4) : C2) : C2)) : C2) : C2",8
512,260082,"(C8 x C4) : Q16",8
512,260243,"(C8 x C8) : Q8",8
512,398657,"C2 x (((((C4 x C4) : C2) : C2) : C2) : C2)",8
512,398658,"C2 x (C8 : Q32)",8
512,398671,"C2 x (C16 : Q16)",8
512,399715,"D16 x D32",4
512,399722,"D16 x Q32",4
512,399728,"((((C2 x D16) : C2) : C2) : C2) : C2",2
512,399729,"(((C4 : Q16) : C2) : C2) : C2",2
512,399970,"Q16 x D32",4
512,399974,"Q16 x Q32",4
512,419715,"(C2 x (((C2 x D16) : C2) : C2)) : C2",8
512,419716,"(C4 x C4) : Q32",8
512,419725,"(C16 x C4) : Q8",8
512,420063,"(((D8 x D8) : C2) : C2) : C2",2
512,420066,"(((((C4 x C2 x C2) : C2) : C2) : C2) : C2) : C2",2
512,420081,"(((((C4 x C4) : C2) : C2) : C2) : C2) : C2",2
512,420084,"((((C4 : Q8) : C2) : C2) : C2) : C2",2
512,420099,"(((((C4 x C4) : C2) : C2) : C2) : C2) : C2",2
512,420102,"(((Q8 x Q8) : C2) : C2) : C2",2
512,420239,"C2 x (((C2 x D32) : C2) : C2)",8
512,420240,"C2 x (C4 : Q64)",8
512,420253,"C2 x (C32 : Q8)",8
512,420360,"D8 x D64",4
512,420367,"D8 x Q64",4
512,420384,"(((C2 x D32) : C2) : C2) : C2",2
512,420388,"(((C2 x Q32) : C2) : C2) : C2",2
512,420475,"Q8 x D64",4
512,420479,"Q8 x Q64",4
512,420505,"C2 x C2 x D128",8
512,420507,"C2 x C2 x Q128",8
512,420512,"(C2 x D128) : C2",2
512,420514,"(C2 x Q128) : C2",2
512,6249567,"(C2 x ((C2 x ((C2 x C2 x C2 x C2) : C2)) : C2)) : C2",16
512,6249622,"(C2 x ((C2 x ((C4 x C4) : C2)) : C2)) : C2",16
512,6249623,"(C4 x C4 x C4) : Q8",16
512,6253746,"C2 x ((((C2 x C2 x D8) : C2) : C2) : C2)",8
512,6253751,"C2 x ((((C4 x C2) : Q8) : C2) : C2)",8
512,6255517,"C2 x (((((C4 x C4) : C2) : C2) : C2) : C2)",8
512,6255522,"C2 x (((Q8 : Q8) : C2) : C2)",8
512,6255542,"C2 x (((C8 : Q8) : C2) : C2)",8
512,6255812,"((C2 x (((C4 x C4) : C2) : C2)) : C2) : C2",4
512,6255815,"((C2 x (C4 : Q16)) : C2) : C2",4
512,6255829,"((C2 x (C8 : Q8)) : C2) : C2",4
512,6258681,"C2 x (((((C4 x C4) : C2) : C2) : C2) : C2)",8
512,6258686,"C2 x (((C8 : Q8) : C2) : C2)",8
512,6264274,"C2 x C2 x ((((C4 x C4) : C2) : C2) : C2)",16
512,6264275,"C2 x C2 x (C8 : Q16)",16
512,6264396,"(C2 x ((((C4 x C4) : C2) : C2) : C2)) : C2",4
512,6264397,"(C2 x (C8 : Q16)) : C2",4
512,6264400,"(C2 x (C8 : Q16)) : C2",4
512,6265552,"C2 x D16 x D16",8
512,6265559,"C2 x Q16 x D16",8
512,6265598,"C2 x Q16 x Q16",8
512,6266313,"(((((C8 x C2) : C2) : C2) : C2) : C2) : C2",4
512,6266315,"(((C4 : Q16) : C2) : C2) : C2",4
512,6266352,"((Q8 : Q16) : C2) : C2",4
512,6266354,"((Q8 : Q16) : C2) : C2",4
512,6407002,"((C2 x ((C2 x C2 x D8) : C2)) : C2) : C2",8
512,6407005,"((C2 x ((Q8 : C4) : C2)) : C2) : C2",8
512,6407051,"((((C8 : (C2 x C2)) : C2) : C2) : C2) : C2",2
512,6407055,"(((((C2 x Q8) : C2) : C2) : C2) : C2) : C2",2
512,6407063,"(((C2 x ((C2 x C2 x C2 x C2) : C2)) : C2) : C2) : C2",4
512,6407070,"((C2 x (((C2 x C2 x C2) : (C2 x C2)) : C2)) : C2) : C2",2
512,6413907,"((C2 x ((C2 x C2 x D8) : C2)) : C2) : C2",8
512,6413908,"((C2 x (C4 : Q16)) : C2) : C2",8
512,6423936,"(((C4 x C4 x C2 x C2) : C2) : C2) : C2",4
512,6423938,"(((C4 x C4 x C2 x C2) : C2) : C2) : C2",4
512,6424086,"(((C2 x ((C4 x C4) : C2)) : C2) : C2) : C2",8
