No,ParentOrder,ParentId,Step,Class,Exponent,CenterSize,DerivedLength,NrConjClasses,HasC2DirectFactor,Code,Order,DerivedSize,Involutions,m,r,IsSpecial,Source,SourceID,Family,WignerS2,WignerS3
1,64,267,4,2,4,32,2,304,true,38761331953577013742149120,1024,16,543,6,4,false,class2_padding,6249567,C2_direct_product,311296,161480704
2,64,267,4,2,4,32,2,304,true,42618535191082105777352632836166786590,1024,16,543,6,4,false,class2_padding,6249622,C2_direct_product,311296,161480704
3,64,267,4,2,4,32,2,304,true,43641380035668076316009384254610933292575,1024,16,31,6,4,false,class2_padding,6249623,C2_direct_product,311296,161480704
4,128,2328,3,2,4,32,2,256,true,39652804736222791370506765824,1024,8,447,7,3,false,class2_padding,7535895,C2_direct_product,262144,98566144
5,128,2328,3,2,4,32,2,256,true,41578979379089623615140240718824966,1024,8,447,7,3,false,class2_padding,7535943,C2_direct_product,262144,98566144
6,128,2328,3,2,4,32,2,256,true,41578979379089586649594499261793801,1024,8,447,7,3,false,class2_padding,7536102,C2_direct_product,262144,98566144
7,128,2328,3,2,4,32,2,256,true,43598719881408242410832847596373725677071,1024,8,63,7,3,false,class2_padding,7536155,C2_direct_product,262144,98566144
8,128,2328,3,2,4,32,2,256,true,42576874884187736692363336620700861965,1024,8,191,7,3,false,class2_padding,7536284,C2_direct_product,262144,98566144
9,128,2328,3,2,4,32,2,280,true,40604472012039563639273599272448,1024,8,479,7,3,false,class2_padding,7536911,C2_direct_product,286720,117440512
10,128,2328,3,2,4,32,2,280,true,42576874844496397556536966178279785990,1024,8,479,7,3,false,class2_padding,7536940,C2_direct_product,286720,117440512
11,128,2328,3,2,4,32,2,280,true,43598719840764311097893997472889078810119,1024,8,95,7,3,false,class2_padding,7536941,C2_direct_product,286720,117440512
12,128,2328,3,2,4,32,2,280,true,44645089116942654525444379744536908889589278,1024,8,159,7,3,false,class2_padding,7537438,C2_direct_product,286720,117440512
13,128,2328,3,2,4,32,2,280,true,44645089116942654525444453675628391803651614,1024,8,159,7,3,false,class2_padding,7537457,C2_direct_product,286720,117440512
14,128,2328,3,2,4,32,2,280,true,45716571255749278234055120563987579537517184543,1024,8,31,7,3,false,class2_padding,7537458,C2_direct_product,286720,117440512
15,128,2328,3,2,4,16,2,256,true,41578979340290660591883244233041408,1024,8,447,7,3,false,class2_padding,7538135,C2_direct_product,262144,98566144
16,128,2328,3,2,4,16,2,256,true,45716571255707658848390595402128381273137489438,1024,8,191,7,3,false,class2_padding,7538394,C2_direct_product,262144,98566144
17,128,2328,3,2,4,16,2,256,true,44645089116902010594131477823930360090863142,1024,8,447,7,3,false,class2_padding,7538415,C2_direct_product,262144,98566144
18,128,2328,3,2,4,16,2,256,true,45716571255707658848390633291848795063613400615,1024,8,63,7,3,false,class2_padding,7538416,C2_direct_product,262144,98566144
19,128,2328,3,2,4,16,2,256,true,45716571255707658848390633291740708672556508711,1024,8,191,7,3,false,class2_padding,7538445,C2_direct_product,262144,98566144
20,128,2328,3,2,4,64,2,352,true,37852862954440075775488,1024,8,575,7,3,false,class2_padding,7540510,C2_direct_product,360448,192937984
21,128,2328,3,2,4,64,2,352,true,40644202150175378812462484688398,1024,8,575,7,3,false,class2_padding,7540544,C2_direct_product,360448,192937984
22,128,2328,3,2,4,64,2,352,true,41619663001779588048076772393094671,1024,8,63,7,3,false,class2_padding,7540545,C2_direct_product,360448,192937984
23,128,2328,3,2,4,16,2,232,true,40644086093296695808061914490368,1024,8,415,7,3,false,class2_padding,7577399,C2_direct_product,237568,79691776
24,128,2328,3,2,4,16,2,232,true,44688645259908534648805470662179920944571931,1024,8,415,7,3,false,class2_padding,7579142,C2_direct_product,237568,79691776
25,128,2328,3,2,4,16,2,232,true,45761172746146339480376839700182671244786935327,1024,8,95,7,3,false,class2_padding,7579170,C2_direct_product,237568,79691776
26,128,2328,3,2,4,16,2,232,true,45761172746146339480376801921250808287625225759,1024,8,159,7,3,false,class2_padding,7579560,C2_direct_product,237568,79691776
27,128,2328,3,2,4,16,2,232,true,45761172746146339480338154221528955700872750651,1024,8,415,7,3,false,class2_padding,7579947,C2_direct_product,237568,79691776
28,128,2328,3,2,4,16,2,232,true,45761172746146339480338154221673070888948606523,1024,8,95,7,3,false,class2_padding,7579948,C2_direct_product,237568,79691776
